date,team1,team2,result
13.07. 21:00,Germany,Argentina,0 :0
12.07. 22:00,Brazil,Netherlands,0 : 3
09.07. 22:00,Netherlands,Argentina,0 :0
08.07. 22:00,Brazil,Germany,1 : 7
05.07. 22:00,Netherlands,Costa Rica,0 :0
05.07. 18:00,Argentina,Belgium,1 : 0
04.07. 22:00,Brazil,Colombia,2 : 1
04.07. 18:00,France,Germany,0 : 1
01.07. 22:00,Belgium,USA,0 :0
01.07. 18:00,Argentina,Switzerland,0 :0
30.06. 22:00,Germany,Algeria,0 :0
30.06. 18:00,France,Nigeria,2 : 0
29.06. 22:00,Costa Rica,Greece,0 :0
29.06. 18:00,Netherlands,Mexico,2 : 1
28.06. 22:00,Colombia,Uruguay,2 : 0
28.06. 18:00,Brazil,Chile,0 :0
26.06. 22:00,Algeria,Russia,1 : 1
26.06. 22:00,South Korea,Belgium,0 : 1
26.06. 18:00,Portugal,Ghana,2 : 1
26.06. 18:00,USA,Germany,0 : 1
25.06. 22:00,Ecuador,France,0 : 0
25.06. 22:00,Honduras,Switzerland,0 : 3
25.06. 18:00,Bosnia & Herzegovina,Iran,3 : 1
25.06. 18:00,Nigeria,Argentina,2 : 3
24.06. 22:00,Greece,Ivory Coast,2 : 1
24.06. 22:00,Japan,Colombia,1 : 4
24.06. 18:00,Costa Rica,England,0 : 0
24.06. 18:00,Italy,Uruguay,0 : 1
23.06. 22:00,Cameroon,Brazil,1 : 4
23.06. 22:00,Croatia,Mexico,1 : 3
23.06. 18:00,Australia,Spain,0 : 3
23.06. 18:00,Netherlands,Chile,2 : 0
23.06. 00:00,USA,Portugal,2 : 2
22.06. 21:00,South Korea,Algeria,2 : 4
22.06. 18:00,Belgium,Russia,1 : 0
22.06. 00:00,Nigeria,Bosnia & Herzegovina,1 : 0
21.06. 21:00,Germany,Ghana,2 : 2
21.06. 18:00,Argentina,Iran,1 : 0
21.06. 00:00,Honduras,Ecuador,1 : 2
20.06. 21:00,Switzerland,France,2 : 5
20.06. 18:00,Italy,Costa Rica,0 : 1
20.06. 00:00,Japan,Greece,0 : 0
19.06. 21:00,Uruguay,England,2 : 1
19.06. 18:00,Colombia,Ivory Coast,2 : 1
19.06. 00:00,Cameroon,Croatia,0 : 4
18.06. 21:00,Spain,Chile,0 : 2
18.06. 18:00,Australia,Netherlands,2 : 3
18.06. 00:00,Russia,South Korea,1 : 1
17.06. 21:00,Brazil,Mexico,0 : 0
17.06. 18:00,Belgium,Algeria,2 : 1
17.06. 00:00,Ghana,USA,1 : 2
16.06. 21:00,Iran,Nigeria,0 : 0
16.06. 18:00,Germany,Portugal,4 : 0
16.06. 00:00,Argentina,Bosnia & Herzegovina,2 : 1
15.06. 21:00,France,Honduras,3 : 0
15.06. 18:00,Switzerland,Ecuador,2 : 1
15.06. 03:00,Ivory Coast,Japan,2 : 1
15.06. 00:00,England,Italy,1 : 2
14.06. 21:00,Uruguay,Costa Rica,1 : 3
14.06. 18:00,Colombia,Greece,3 : 0
14.06. 00:00,Chile,Australia,3 : 1
13.06. 21:00,Spain,Netherlands,1 : 5
13.06. 18:00,Mexico,Cameroon,1 : 0
12.06. 22:00,Brazil,Croatia,3 : 1
