date,team1,team2,result
13.06. 20:45,Faroe Islands,Greece,2 : 1
13.06. 20:45,Gibraltar,Germany,0 : 7
13.06. 20:45,Northern Ireland,Romania,0 : 0
13.06. 18:00,Armenia,Portugal,2 : 3
13.06. 18:00,Finland,Hungary,0 : 1
13.06. 18:00,Ireland,Scotland,1 : 1
13.06. 18:00,Poland,Georgia,4 : 0
12.06. 20:45,Andorra,Cyprus,1 : 3
12.06. 20:45,Bosnia & Herzegovina,Israel,3 : 1
12.06. 20:45,Croatia,Italy,1 : 1
12.06. 20:45,Iceland,Czech Republic,2 : 1
12.06. 20:45,Latvia,Netherlands,0 : 2
12.06. 20:45,Malta,Bulgaria,0 : 1
12.06. 20:45,Norway,Azerbaijan,0 : 0
12.06. 20:45,Wales,Belgium,1 : 0
12.06. 18:00,Kazakhstan,Turkey,0 : 1
31.03. 20:45,Israel,Belgium,0 : 1
29.03. 20:45,Hungary,Greece,0 : 0
29.03. 20:45,Ireland,Poland,1 : 1
29.03. 20:45,Portugal,Serbia,2 : 1
29.03. 18:00,Albania,Armenia,2 : 1
29.03. 18:00,Georgia,Germany,0 : 2
29.03. 18:00,Northern Ireland,Finland,2 : 1
29.03. 18:00,Romania,Faroe Islands,1 : 0
29.03. 18:00,Scotland,Gibraltar,6 : 1
28.03. 20:45,Andorra,Bosnia & Herzegovina,0 : 3
28.03. 20:45,Belgium,Cyprus,5 : 0
28.03. 20:45,Bulgaria,Italy,2 : 2
28.03. 20:45,Netherlands,Turkey,1 : 1
28.03. 18:00,Azerbaijan,Malta,2 : 0
28.03. 18:00,Croatia,Norway,5 : 1
28.03. 18:00,Czech Republic,Latvia,1 : 1
28.03. 18:00,Israel,Wales,0 : 3
28.03. 16:00,Kazakhstan,Iceland,0 : 3
27.03. 20:45,England,Lithuania,4 : 0
27.03. 20:45,FYR Macedonia,Belarus,1 : 2
27.03. 20:45,Liechtenstein,Austria,0 : 5
27.03. 20:45,Moldova,Sweden,0 : 2
27.03. 20:45,Montenegro,Russia,0 : 3
27.03. 20:45,Slovakia,Luxembourg,3 : 0
27.03. 20:45,Slovenia,San Marino,6 : 0
27.03. 20:45,Spain,Ukraine,1 : 0
27.03. 20:45,Switzerland,Estonia,3 : 0
16.11. 20:45,Bulgaria,Malta,1 : 1
16.11. 20:45,Czech Republic,Iceland,2 : 1
16.11. 20:45,Israel,Bosnia & Herzegovina,3 : 0
16.11. 20:45,Italy,Croatia,1 : 1
16.11. 20:45,Turkey,Kazakhstan,3 : 1
16.11. 18:00,Azerbaijan,Norway,0 : 1
16.11. 18:00,Belgium,Wales,0 : 0
16.11. 18:00,Cyprus,Andorra,5 : 0
16.11. 18:00,Netherlands,Latvia,6 : 0
15.11. 20:45,FYR Macedonia,Slovakia,0 : 2
15.11. 20:45,Montenegro,Sweden,1 : 1
15.11. 20:45,Spain,Belarus,3 : 0
15.11. 20:45,Switzerland,Lithuania,4 : 0
15.11. 18:00,Austria,Russia,1 : 0
15.11. 18:00,England,Slovenia,3 : 1
15.11. 18:00,Luxembourg,Ukraine,0 : 3
15.11. 18:00,Moldova,Liechtenstein,0 : 1
15.11. 18:00,San Marino,Estonia,0 : 0
14.11. 20:45,Germany,Gibraltar,4 : 0
14.11. 20:45,Greece,Faroe Islands,0 : 1
14.11. 20:45,Hungary,Finland,1 : 0
14.11. 20:45,Portugal,Armenia,1 : 0
14.11. 20:45,Romania,Northern Ireland,2 : 0
14.11. 20:45,Scotland,Ireland,1 : 0
14.11. 20:45,Serbia,Denmark,1 : 3
14.11. 18:00,Georgia,Poland,0 : 4
14.10. 20:45,Denmark,Portugal,0 : 1
14.10. 20:45,Faroe Islands,Hungary,0 : 1
14.10. 20:45,Finland,Romania,0 : 2
14.10. 20:45,Germany,Ireland,1 : 1
14.10. 20:45,Gibraltar,Georgia,0 : 3
14.10. 20:45,Greece,Northern Ireland,0 : 2
14.10. 20:45,Poland,Scotland,2 : 2
14.10. 20:45,San Marino,Switzerland,0 : 4
14.10. 20:45,Serbia,Albania,0 : 3
13.10. 20:45,Andorra,Israel,1 : 4
13.10. 20:45,Bosnia & Herzegovina,Belgium,1 : 1
13.10. 20:45,Croatia,Azerbaijan,6 : 0
13.10. 20:45,Iceland,Netherlands,2 : 0
13.10. 20:45,Latvia,Turkey,1 : 1
13.10. 20:45,Malta,Italy,0 : 1
13.10. 20:45,Norway,Bulgaria,2 : 1
13.10. 20:45,Wales,Cyprus,2 : 1
