date,team1,team2,result
10.06. 20:15,Switzerland,Liechtenstein,3 : 0
10.06. 17:00,Estonia U23,Latvia U23,1 : 3
10.06. 17:00,Russia U18,England U18,2 : 1
09.06. 20:00,Georgia,Ukraine,1 : 2
09.06. 19:30,D.R. Congo,Cameroon,1 : 1
09.06. 19:00,Luxembourg,Moldova,0 : 0
09.06. 18:00,Czech Republic U21,Ukraine U21,2 : 1
09.06. 18:00,Finland,Estonia,0 : 2
09.06. 17:00,Bulgaria U21,Cyprus U21,1 : 0
09.06. 15:00,Uganda,Gambia,1 : 1
08.06. 20:00,Denmark,Montenegro,2 : 1
08.06. 20:00,Malta,Lithuania,2 : 0
08.06. 20:00,Norway,Sweden,0 : 0
08.06. 19:45,Turkey,Bulgaria,4 : 0
08.06. 18:00,Egypt,Malawi,2 : 1
08.06. 17:00,Ghana,Togo,1 : 0
08.06. 17:00,Russia U18,England U18,0 : 2
07.06. 22:00,Brazil,Mexico,2 : 0
07.06. 21:00,France,Belgium,3 : 4
07.06. 18:00,Croatia,Gibraltar,4 : 0
07.06. 17:00,Russia,Belarus,4 : 2
07.06. 17:00,Serbia,Azerbaijan,4 : 1
07.06. 15:30,Rwanda,Tanzania,2 : 0
07.06. 14:00,Ireland,England,0 : 0
07.06. 13:00,Kenya,South Sudan,2 : 0
07.06. 01:15,Paraguay,Honduras,2 : 2
07.06. 01:00,Argentina,Bolivia,5 : 0
07.06. 00:00,Uruguay,Guatemala,5 : 1
06.06. 23:15,Colombia,Costa Rica,1 : 0
06.06. 23:00,Ecuador,Panama,4 : 0
06.06. 18:00,Burkina Faso,Cameroon,2 : 3
06.06. 18:00,Niger,Gabon,2 : 1
06.06. 17:00,Czech Republic U21,Ukraine U21,3 : 0
06.06. 16:00,Andorra,Equatorial Guinea,0 : 1
06.06. 15:30,Rwanda,Kenya,0 : 0
06.06. 14:45,Malaysia,Hong Kong,0 : 0
06.06. 13:30,Singapore,Brunei,5 : 1
06.06. 13:00,Mali,Libya,2 : 2
06.06. 01:30,Bermuda,Puerto Rico,1 : 1
06.06. 00:00,Chile,El Salvador,1 : 0
05.06. 20:45,Scotland,Qatar,1 : 0
05.06. 20:30,Netherlands,USA,3 : 4
05.06. 18:30,Hungary,Lithuania,4 : 0
05.06. 17:15,Oman,Syria,1 : 2
05.06. 16:00,Jordan,Kuwait,2 : 2
05.06. 14:00,Thailand,Bahrain,1 : 1
05.06. 13:00,Cambodia,Myanmar,1 : 0
04.06. 03:30,Panama,Ecuador,1 : 1
04.06. 03:00,Peru,Mexico,1 : 1
03.06. 19:00,Portugal U18,Norway U18,2 : 0
03.06. 16:00,Ukraine U21,Slovenia U21,1 : 1
02.06. 16:00,Ukraine U21,Moldova U21,5 : 0
02.06. 14:00,Greece U21,Slovenia U21,0 : 3
02.06. 13:30,Cambodia,Laos,1 : 1
02.06. 12:00,Bangladesh,Afghanistan,1 : 1
31.05. 22:00,Honduras,El Salvador,2 : 0
31.05. 18:00,Northern Ireland,Qatar,1 : 1
31.05. 00:00,Mexico,Guatemala,3 : 0
30.05. 18:00,Jordan,Lebanon,0 : 0
29.05. 14:00,Laos,Afghanistan,0 : 2
29.05. 12:00,Bangladesh,Singapore,1 : 2
24.05. 17:00,Lebanon,Syria,2 : 2
22.05. 15:00,South Africa,Malawi,2 : 1
20.05. 14:00,Thailand,North Korea,0 : 1
17.05. 14:00,Vietnam,North Korea,1 : 1
17.05. 02:30,Saint Lucia,Grenada,0 : 2
17.05. 00:00,Saint Vincent and the Grenadines,Dominica,1 : 0
16.05. 15:45,Lesotho,South Africa,1 : 1
15.05. 02:00,Saint Lucia,Saint Vincent and the Grenadines,1 : 2
14.05. 23:30,Grenada,Dominica,1 : 2
14.05. 15:00,Lesotho,South Africa,0 : 0
14.05. 11:00,Serbia U18,Slovakia U18,1 : 1
13.05. 01:30,Saint Lucia,Dominica,1 : 1
12.05. 23:00,Grenada,Saint Vincent and the Grenadines,2 : 3
12.05. 16:00,Serbia U18,Slovakia U18,1 : 1
12.05. 14:00,Kazakhstan,Burkina Faso,0 : 0
11.05. 01:30,Barbados,Saint Kitts and Nevis,1 : 3
10.05. 15:00,Zambia,Malawi,2 : 0
29.04. 17:30,Slovakia U21,Czech Republic U20,2 : 0
21.04. 16:00,Qatar U20,USA U20,2 : 2
21.04. 15:00,Italy U20,Germany U20,2 : 1
16.04. 20:00,Honduras U20,Brazil U20,1 : 0
16.04. 02:30,USA,Mexico,2 : 0
10.04. 16:00,Qatar U20,Honduras U20,2 : 3
01.04. 05:00,El Salvador,Guatemala,0 : 0
01.04. 03:00,Mexico,Paraguay,1 : 0
01.04. 03:00,Panama,Costa Rica,2 : 1
01.04. 02:00,Argentina,Ecuador,2 : 1
01.04. 02:00,Peru,Venezuela,0 : 1
31.03. 21:45,Portugal,Cape Verde,0 : 2
31.03. 20:45,Italy,England,1 : 1
31.03. 20:45,Netherlands,Spain,2 : 0
31.03. 20:30,Austria,Bosnia & Herzegovina,1 : 1
31.03. 20:30,Ghana,Mali,1 : 1
31.03. 20:30,Slovakia,Czech Republic,1 : 0
31.03. 20:15,Luxembourg,Turkey,1 : 2
31.03. 20:00,Ukraine,Latvia,1 : 1
31.03. 19:30,Sweden,Iran,3 : 1
31.03. 19:15,Mauritania,Niger,2 : 0
31.03. 19:00,Denmark U21,USA U23,1 : 0
31.03. 19:00,Norway U21,Sweden U21,0 : 6
31.03. 19:00,Russia,Kazakhstan,0 : 0
31.03. 18:30,Romania U21,Cyprus U21,1 : 0
31.03. 18:08,Switzerland,USA,1 : 1
31.03. 18:00,Czech Republic U21,Portugal U21,1 : 0
31.03. 18:00,Estonia,Iceland,1 : 1
31.03. 17:00,Portugal U20,Uruguay U20,3 : 0
31.03. 16:00,Iraq,D.R. Congo,1 : 0
31.03. 16:00,Russia U21,Sweden U21,0 : 2
31.03. 15:00,Liechtenstein,San Marino,1 : 0
31.03. 14:30,Tajikistan,Syria,2 : 3
31.03. 14:00,Bosnia & Herzegovina U21,Turkey U21,2 : 1
31.03. 13:35,China,Tunisia,1 : 1
31.03. 13:30,Singapore,Guam,2 : 2
31.03. 13:00,South Korea,New Zealand,1 : 0
31.03. 12:25,Japan,Uzbekistan,5 : 1
31.03. 03:00,Jamaica,Cuba,3 : 0
31.03. 01:30,Puerto Rico,Canada,0 : 3
30.03. 21:00,France U21,Netherlands U21,4 : 1
30.03. 21:00,FYR Macedonia,Australia,0 : 0
30.03. 21:00,Italy U21,Serbia U21,0 : 1
30.03. 20:45,England U21,Germany U21,3 : 2
30.03. 20:30,Spain U21,Belarus U21,4 : 0
30.03. 18:00,Kuwait,Colombia,1 : 3
30.03. 18:00,Qatar,Slovenia,1 : 0
30.03. 17:30,Bahrain,Philippines,2 : 1
30.03. 17:30,Saudi Arabia,Jordan,2 : 1
30.03. 17:30,Slovakia U21,Ukraine U21,0 : 0
30.03. 16:30,Estonia U21,Kazakhstan U21,1 : 2
30.03. 16:00,Greece U21,Croatia U21,0 : 2
30.03. 16:00,Oman,Algeria,1 : 4
30.03. 15:00,Slovenia U21,FYR Macedonia U21,1 : 1
30.03. 14:00,Belarus,Gabon,0 : 0
30.03. 14:00,Thailand,Cameroon,2 : 3
30.03. 12:00,Indonesia,Myanmar,2 : 1
30.03. 02:30,Guyana,Grenada,2 : 0
29.03. 21:00,France,Denmark,2 : 0
29.03. 19:00,Ivory Coast,Equatorial Guinea,1 : 1
29.03. 17:00,Botswana,Mozambique,1 : 2
29.03. 17:00,Zambia,Rwanda,2 : 0
29.03. 16:00,Brazil,Chile,1 : 0
29.03. 15:30,South Africa,Nigeria,1 : 1
29.03. 15:30,Tanzania,Malawi,1 : 1
29.03. 14:30,Seychelles,Kenya,0 : 2
29.03. 03:30,Mexico,Ecuador,1 : 0
28.03. 21:30,El Salvador,Argentina,0 : 2
28.03. 20:45,Ghana,Senegal,1 : 2
28.03. 20:00,Morocco,Uruguay,0 : 1
28.03. 18:30,Qatar U21,Austria U21,0 : 4
28.03. 15:30,Mauritius,Togo,1 : 1
28.03. 15:00,Iraq,D.R. Congo,2 : 1
28.03. 09:00,Hong Kong,Guam,1 : 0
28.03. 02:00,Jamaica,Venezuela,2 : 1
28.03. 00:00,Trinidad & Tobago,Panama,0 : 1
27.03. 21:30,Canada,Guatemala,1 : 0
27.03. 20:30,Czech Republic U21,England U21,0 : 1
27.03. 20:00,Gambia,Mauritania,1 : 0
27.03. 20:00,Germany U21,Italy U21,2 : 2
27.03. 18:30,Werder Bremen,Kosovo,2 : 0
27.03. 18:15,Serbia U21,Sweden U21,0 : 1
27.03. 17:00,France U18,Germany U18,1 : 2
27.03. 17:00,Portugal U20,Uzbekistan U20,2 : 0
27.03. 14:00,Germany U20,Poland U20,1 : 2
27.03. 14:00,Latvia U18,Georgia U18,2 : 1
27.03. 12:35,China,Haiti,2 : 2
27.03. 12:00,Austria U18,Finland U18,3 : 0
27.03. 12:00,South Korea,Uzbekistan,1 : 1
27.03. 11:30,Japan,Tunisia,2 : 0
27.03. 10:00,Poland U18,Ukraine U18,1 : 3
27.03. 03:00,Costa Rica,Paraguay,0 : 0
26.03. 21:00,France,Brazil,1 : 3
26.03. 20:30,Spain U21,Norway U21,2 : 0
26.03. 20:00,Iran,Chile,2 : 0
26.03. 19:00,Netherlands U19,Northern Ireland U19,1 : 1
26.03. 18:30,Romania U21,Iceland U21,3 : 0
26.03. 18:00,Bahrain,Colombia,0 : 6
26.03. 18:00,Ivory Coast,Angola,2 : 0
26.03. 18:00,Portugal U21,Denmark U21,0 : 0
26.03. 17:30,Slovakia U21,Norway U23,4 : 1
26.03. 17:00,Egypt,Equatorial Guinea,2 : 0
26.03. 17:00,Maldives,Tajikistan,0 : 2
26.03. 17:00,Qatar,Algeria,1 : 0
26.03. 16:30,Jordan,Syria,0 : 1
26.03. 15:30,Oman,Malaysia,6 : 0
26.03. 15:00,Croatia U21,Montenegro U21,3 : 1
26.03. 15:00,Italy U21,Switzerland U21,3 : 0
26.03. 15:00,Slovenia U21,Ukraine U21,0 : 2
26.03. 14:30,Hungary U21,Scotland U21,1 : 2
26.03. 14:00,Cyprus U21,Israel U21,2 : 4
26.03. 13:00,Thailand,Singapore,2 : 0
25.03. 21:00,Dominican Republic,Cuba,0 : 3
25.03. 21:00,France U21,Estonia U21,6 : 0
25.03. 20:45,Scotland,Northern Ireland,1 : 0
25.03. 20:30,Germany,Australia,2 : 2
25.03. 20:15,Denmark,USA,3 : 2
25.03. 19:00,Mali,Gabon,3 : 4
25.03. 18:00,Georgia,Malta,2 : 0
25.03. 18:00,Nigeria,Uganda,0 : 1
25.03. 18:00,Swaziland,South Africa,1 : 3
25.03. 17:00,Botswana,Lesotho,2 : 0
25.03. 17:00,Ghana,Namibia,1 : 0
25.03. 15:30,Mauritius,Burundi,2 : 2
25.03. 14:00,Latvia U18,Poland U18,1 : 1
25.03. 13:30,Finland U21,Kazakhstan U21,3 : 0
25.03. 13:00,Armenia U21,Latvia U21,2 : 2
25.03. 12:00,Austria U18,Finland U18,4 : 0
25.03. 11:00,Indonesia,Cameroon,0 : 1
25.03. 10:00,Ukraine U18,Georgia U18,3 : 1
24.03. 14:00,Georgia U18,Poland U18,0 : 1
24.03. 10:00,Latvia U18,Ukraine U18,0 : 3
23.03. 01:30,Guyana,Saint Lucia,2 : 0
22.03. 22:00,Antigua and Barbuda,British Virgin Islands,1 : 0
15.03. 23:00,Antigua and Barbuda,Dominica,1 : 0
09.03. 01:00,Barbados,Saint Vincent and the Grenadines,2 : 2
08.03. 19:00,Bermuda,Grenada,2 : 0
07.03. 02:00,Barbados,Saint Vincent and the Grenadines,3 : 1
07.03. 01:30,Bermuda,Grenada,2 : 2
03.03. 13:30,Montenegro U19,Denmark U19,0 : 0
26.02. 12:00,Serbia U19,Croatia U19,2 : 1
25.02. 20:00,Ireland U19,Azerbaijan U19,6 : 0
25.02. 14:30,Italy U19,Georgia U19,1 : 1
25.02. 14:30,Italy U20,Qatar U20,6 : 0
24.02. 14:00,Serbia U19,Croatia U19,4 : 2
18.02. 17:00,Moldova,Kazakhstan,1 : 1
16.02. 16:00,Norway U19,Portugal U19,0 : 4
14.02. 16:00,Norway U19,Czech Republic U19,1 : 2
14.02. 16:00,Romania,Moldova,2 : 1
14.02. 13:00,Portugal U19,Slovakia U19,2 : 2
12.02. 16:00,Czech Republic U19,Portugal U19,1 : 1
12.02. 13:00,Slovakia U19,Norway U19,0 : 1
12.02. 00:30,Venezuela,Honduras,2 : 1
10.02. 18:00,Bolnisi,Romania,0 : 1
08.02. 22:00,USA,Panama,2 : 0
07.02. 18:00,Romania,Bulgaria,0 : 0
06.02. 11:00,Pakistan,Afghanistan,2 : 1
05.02. 02:00,Honduras,Venezuela,2 : 3
02.02. 00:00,Barbados,Guyana,2 : 2
29.01. 00:00,Chile,USA,3 : 2
22.01. 15:00,Finland,Yemen,0 : 0
21.01. 18:00,Belgium U19,Italy U19,0 : 2
19.01. 22:00,Canada,Iceland,1 : 1
19.01. 19:30,Sweden,Finland,0 : 1
17.01. 17:00,Nigeria,Yemen,2 : 0
16.01. 22:30,Canada,Iceland,1 : 2
15.01. 18:30,Sweden,Ivory Coast,2 : 0
14.01. 15:00,South Africa,Mali,3 : 0
13.01. 16:30,Senegal,Guinea,5 : 2
13.01. 16:00,Burkina Faso,Botswana,2 : 0
11.01. 18:00,Tunisia,Algeria,1 : 1
11.01. 17:00,Ivory Coast,Nigeria,1 : 0
11.01. 12:00,Gabon,Mali,0 : 2
10.01. 20:00,Cameroon,South Africa,1 : 1
10.01. 17:00,Congo,Cape Verde,2 : 3
10.01. 16:00,Burkina Faso,Swaziland,5 : 1
09.01. 16:00,Senegal,Gabon,1 : 0
08.01. 16:00,Cambuur,Ghana,1 : 1
07.01. 15:30,Cameroon,D.R. Congo,1 : 1
05.01. 08:00,Qatar,Team Wellington,3 : 1
04.01. 14:00,South Africa,Zambia,1 : 0
04.01. 10:00,South Korea,Saudi Arabia,2 : 0
04.01. 09:30,Bahrain,Jordan,1 : 0
04.01. 08:00,Iraq,Iran,0 : 1
03.01. 12:00,China,Oman,4 : 1
